Num,Hotel Name,Price,Rating,Comments Count,Address
93,锦江之星(北京动物园店),¥581起,4.6,共613条点评,西外大街德宝新园11号5栋
94,北京雷龙宾馆(西直门积水潭地铁站店),¥451起,4.3,共189条点评,后坑胡同43号
95,知和行酒店(朝阳高铁站十里堡地铁站店),¥79起,4.3,共34条点评,八里庄北里305号楼三层
96,全季酒店(北京首都机场T3航站楼店),¥974起,4.9,共1057条点评,首都国际机场三号航站楼A2层W1
97,空科宾馆(北京中关村知春路地铁站店),¥510起,4.7,共108条点评,中关村南二条一号
98,合生麒麟社公寓(北京望京SOHO店),¥406起,4.5,共95条点评,望京合生麒麟社2号楼
99,汉庭酒店(北京马甸桥店),¥610起,4.8,共978条点评,北三环中路18号
100,皓阳宾馆(北京前门天安门广场店),¥930起,4.7,共2585条点评,前门西大街正阳市场4号楼
101,一禾公寓(北京望京soho店),¥434起,4.9,共78条点评,望京阜通西大街与望京街和阜安西路交汇处合生麒麟社2号楼1层
2,杭州拣枝而栖青年旅舍(宝善桥地铁站店),¥41起,4.9,共1122条点评,潮鸣街道刀茅巷裕达大厦六楼601
3,杭州灯火阑珊青年旅舍,¥49起,4.9,共1419条点评,西兴街道滨盛路1509号天恒大厦205室
4,杭州Family尚客青年旅社,¥30起,5.0,共7839条点评,萧绍路960一楼
5,杭州武林国际城市营地(西湖武林门地铁站店),¥57起,4.7,共1510条点评,下城区体育场路409号万华商务楼B座9楼
6,庭酒店(杭州阿里巴巴西溪园区店),¥111起,4.8,共2137条点评,五常街道高教路970-1号西溪联合科技广场1号楼
7,恒祺壹号青年旅舍(杭州东站店),¥64起,4.9,共195条点评,恒祺克拉天玺商务中心5座823室
8,如家酒店·neo(杭州西湖湖滨步行街音乐喷泉店),¥469起,4.4,共2352条点评,平海路58号(旺角大楼3楼)
9,派酒店(杭州下沙文海南路地铁站店),¥128起,4.7,共2045条点评,"下沙新加坡科技园学正街386号阳光创富中心北1幢501室,601,701,801室"
10,星城空禅精品社交青年旅社(杭州婺江路地铁站店),¥62起,4.7,共1642条点评,秋涛路258号秋涛发展大厦C座7楼
11,怡莱酒店(杭州下沙学正街店),¥82起,4.8,共452条点评,下沙学正街567号金沙居B座三楼
12,汉庭酒店(杭州萧山机场店),¥168起,4.8,共2002条点评,红山农场红山大道55号
13,优品酒店(杭州萧山国际机场店),¥200起,4.9,共1383条点评,红山农场先锋路358号
14,7天连锁酒店(杭州下沙店),¥129起,4.7,共2161条点评,海达南路129号
15,庭酒店(杭州文一路翠苑店),¥175起,4.9,共2112条点评,文一路294号-3F
16,暮色假日酒店(杭州火车东站店),¥88起,4.9,共1758条点评,麦庙街新风丽都北苑底商56号
17,布丁严选酒店(杭州丁兰龙湖天街桃花湖地铁站店),¥110起,4.5,共472条点评,环丁路10号
18,望达斯青年旅舍(杭州西湖河坊街店),¥63起,4.4,共1018条点评,河坊街173号-小井巷21号，近南宋御街
19,新丁香酒店(杭州萧山国际机场永盛路地铁站店),¥165起,4.6,共1799条点评,空港经济开发区空港新天地3号楼6楼
20,格丽酒店(杭州西湖科技园池华街地铁站店),¥266起,4.6,共178条点评,三墩镇紫萱路279号领富商务中心7幢东2门
21,汉庭酒店(杭州四季青服装市场店),¥385起,4.9,共872条点评,清江路122号
22,汉庭酒店(杭州萧山机场永盛路地铁站店),¥157起,4.9,共167条点评,靖江街道空港新天地1-101号商铺
23,7天连锁酒店(杭州人民广场地铁站店),¥165起,4.7,共2295条点评,金惠路300号
24,杭州鸿菲酒店公寓(火车东站西广场店),¥297起,4.5,共1082条点评,新风路288号(红街天城四幢)
25,自如驿青年旅舍(杭州大运河店),¥86起,4.9,共1386条点评,上塘路运河广场5号
26,澜奢酒店(杭州武林广场沈塘桥地铁站店),¥340起,4.7,共1677条点评,马塍路10号
27,如家酒店(杭州武林广场朝晖路运河店),¥233起,4.6,共866条点评,朝晖路12号流水东苑11幢
28,OMGA电竞酒店(杭州高沙地铁站店),¥168起,4.8,共841条点评,下沙天城东路130号北苑大厦5号楼三楼
29,艾斯博格公寓(杭州未来科技城店),¥227起,4.9,共1378条点评,仓前街道银天金城1幢1楼107室(前台)
30,汉庭酒店(杭州火车东站机场路店),¥241起,4.9,共425条点评,机场路108号
31,汉庭酒店(杭州时代大道店),¥203起,4.9,共439条点评,闻堰街道时代大道3919号
32,慧梵·追梦公寓(理想银泰城临平地铁站店),¥165起,4.9,共1611条点评,世纪大道118号临平理想银泰城公寓A座23楼2313室
33,爱电竞酒店(杭州萧山火车南站店),¥319起,4.9,共258条点评,商城北路98号108室
34,YUNIK-电竞酒店(杭州东站佰富时代中心店),¥260起,4.9,共134条点评,佰富时代中心2幢2楼
35,汉庭酒店(杭州龙湖滨江天街江南大道店),¥253起,4.6,共1150条点评,月明路1168号
36,此印酒店(杭州华丰路地铁站店),¥238起,4.8,共1674条点评,华丰路228号
37,网鱼电竞酒店(杭州东站店),¥297起,5.0,共26条点评,联合麦田大厦713室
38,怡莱酒店(杭州武林广场店),¥318起,4.8,共673条点评,体育场路216号田家桥2号，体育场路和中河高架交叉口
39,如家酒店(杭州西湖黄龙万科中心颐高店),¥333起,4.6,共714条点评,黄姑山路11号
40,杭州和丽精品酒店,¥342起,4.5,共2066条点评,范家路219号
41,杭州格姆顿酒店(钱江新城店),¥361起,5.0,共82条点评,万潮星汇大厦2幢502室
42,木兮未来公寓(杭州EFC欧美金融城店),¥217起,4.8,共2099条点评,仓前街道欧美金融城澳洲中心T7-421
43,顾猫宁公寓(杭州银泰新天地购物中心店),¥285起,4.9,共1960条点评,新天地东方茂商业中心4幢11楼1118室
44,汉庭酒店(杭州中泰地铁站店),¥142起,4.9,共584条点评,中泰路405号-1(中泰商贸城)
45,慧梵·追梦公寓(理想银泰城临平地铁站店),¥165起,4.9,共1611条点评,世纪大道118号临平理想银泰城公寓A座23楼2313室
46,唐庭酒店(杭州火车东站西广场店),¥86起,4.6,共1117条点评,新风路与麦庙街交口明桂南苑底商1幢4号
47,如家酒店(杭州萧山万象汇人民广场地铁站店),¥132起,4.6,共471条点评,金城路451号太古广场(颐高数码)
48,汉庭酒店(杭州三墩西湖科技园店),¥256起,4.9,共267条点评,振华路200号瑞鼎大厦A座
49,海友酒店(杭州西溪联胜路地铁站店),¥198起,4.8,共468条点评,五常街道联胜路9号4号楼101室
50,如家派柏.云酒店(杭州九堡地铁站店),¥154起,4.5,共430条点评,杭海路1179号
51,布丁酒店(杭州紫金港三墩同仁广场店),¥98起,4.4,共357条点评,三墩镇同仁家园同仁阁203-303
52,如家酒店·neo(杭州体育场路丝绸城店),¥438起,4.8,共1440条点评,体育场路50号
