id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1582830,木瓜,1187,水果,1211,其他类,4.5,5.0,4.75,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582829,柿饼,1187,水果,1211,其他类,5.0,9.0,7.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582828,桑葚,1187,水果,1211,其他类,7.0,8.0,7.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582827,甘蔗,1187,水果,1211,其他类,1.9,2.0,1.95,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582826,柠檬,1187,水果,1211,其他类,4.0,5.0,4.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582825,石榴,1187,水果,1211,其他类,4.5,7.0,5.75,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582824,山楂,1187,水果,1211,其他类,5.0,7.0,6.0,,小金星,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582823,山楂,1187,水果,1211,其他类,4.0,6.0,5.0,,普通,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582822,姑娘果（灯笼果）,1187,水果,1211,其他类,12.0,18.0,15.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582821,鸭梨,1187,水果,NULL,梨类,1.8,2.0,1.9,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582820,雪花梨,1187,水果,NULL,梨类,1.8,1.9,1.85,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582819,皇冠梨,1187,水果,NULL,梨类,2.4,2.6,2.5,,纸箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582818,南果梨,1187,水果,NULL,梨类,3.5,7.5,5.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582817,丰水梨,1187,水果,NULL,梨类,2.75,3.1,2.93,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582816,酥梨,1187,水果,NULL,梨类,2.5,2.7,2.6,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582815,红啤梨,1187,水果,NULL,梨类,4.8,5.0,4.9,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582814,红香酥梨,1187,水果,NULL,梨类,1.4,1.7,1.55,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582813,玉露香梨,1187,水果,NULL,梨类,2.8,3.0,2.9,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582812,贵妃梨,1187,水果,NULL,梨类,1.7,1.8,1.75,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582811,秋月梨,1187,水果,NULL,梨类,3.8,4.5,4.15,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582810,库尔勒香梨,1187,水果,NULL,梨类,3.0,6.0,4.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582809,砂糖橘,1187,水果,NULL,柑橘类,3.0,5.8,4.4,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582808,丑橘,1187,水果,NULL,柑橘类,2.8,3.5,3.15,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582807,爱媛,1187,水果,NULL,柑橘类,3.0,5.0,4.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582806,赣南脐橙,1187,水果,NULL,柑橘类,2.2,3.5,2.85,,Ф65-Ф95,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582805,血橙,1187,水果,NULL,柑橘类,1.8,2.8,2.3,,二月红,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582804,沃柑,1187,水果,NULL,柑橘类,3.0,4.0,3.5,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582803,耙耙柑,1187,水果,NULL,柑橘类,3.0,4.5,3.75,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582802,芦柑,1187,水果,NULL,柑橘类,1.5,2.5,2.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582801,金桔,1187,水果,NULL,柑橘类,3.0,9.0,6.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582800,红心蜜柚,1187,水果,NULL,柑橘类,1.6,3.0,2.3,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582799,葡萄柚,1187,水果,NULL,柑橘类,2.0,2.5,2.25,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582798,猕猴桃,1187,水果,NULL,桃李杏类,5.5,8.0,6.75,,翠香,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582797,猕猴桃,1187,水果,NULL,桃李杏类,2.6,5.0,3.8,,徐香,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582796,猕猴桃,1187,水果,NULL,桃李杏类,2.8,4.0,3.4,,海沃德,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582795,无籽小号-大号,1187,水果,NULL,西瓜类,1.6,1.7,1.65,,甜蜜蜜,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582794,麒麟,1187,水果,NULL,西瓜类,4.0,5.0,4.5,,甜蜜蜜,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582793,黑美人,1187,水果,NULL,西瓜类,1.9,2.1,2.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582792,特小凤,1187,水果,NULL,西瓜类,2.5,3.5,3.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582791,甜王,1187,水果,NULL,西瓜类,2.0,2.2,2.1,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582790,国产香蕉,1187,水果,NULL,香蕉类,3.0,3.2,3.1,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582789,进口香蕉,1187,水果,NULL,香蕉类,4.0,4.2,4.1,,菲律宾、老挝,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582788,泰国香蕉,1187,水果,NULL,香蕉类,10.0,10.5,10.25,,帝王蕉,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582787,晓蜜25号,1187,水果,NULL,甜瓜类,2.6,3.0,2.8,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582786,黄金瓜,1187,水果,NULL,甜瓜类,2.3,2.6,2.45,,金蜜,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582785,玉菇,1187,水果,NULL,甜瓜类,3.0,3.2,3.1,,奶香蜜,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582784,网纹,1187,水果,NULL,甜瓜类,5.5,6.5,6.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582783,羊角蜜,1187,水果,NULL,甜瓜类,7.0,7.5,7.25,,六一,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582782,绿宝甜瓜,1187,水果,NULL,甜瓜类,7.0,7.5,7.25,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582781,博阳,1187,水果,NULL,甜瓜类,7.0,7.5,7.25,,系列,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582780,富士,1187,水果,NULL,苹果类,2.8,3.6,3.2,,纸袋Φ70-84,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582779,富士,1187,水果,NULL,苹果类,4.0,5.0,4.5,,纸袋Φ85以上,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582778,富士,1187,水果,NULL,苹果类,2.2,2.8,2.5,,纸+膜袋,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582777,黄元帅,1187,水果,NULL,苹果类,2.8,3.8,3.3,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582776,花牛,1187,水果,NULL,苹果类,2.0,4.0,3.0,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582775,阿克苏,1187,水果,NULL,苹果类,5.5,6.0,5.75,新疆,冰糖心,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
