id,prodName,pubDate,lowPrice,highPrice,avgPrice,place
1582806,赣南脐橙,2024-03-10 00:00:00,2.2,3.5,2.85,
1582805,血橙,2024-03-10 00:00:00,1.8,2.8,2.3,
1582804,沃柑,2024-03-10 00:00:00,3.0,4.0,3.5,
1582803,耙耙柑,2024-03-10 00:00:00,3.0,4.5,3.75,
1582802,芦柑,2024-03-10 00:00:00,1.5,2.5,2.0,
1582801,金桔,2024-03-10 00:00:00,3.0,9.0,6.0,
1582800,红心蜜柚,2024-03-10 00:00:00,1.6,3.0,2.3,
1582799,葡萄柚,2024-03-10 00:00:00,2.0,2.5,2.25,
1582798,猕猴桃,2024-03-10 00:00:00,5.5,8.0,6.75,
1582797,猕猴桃,2024-03-10 00:00:00,2.6,5.0,3.8,
1582796,猕猴桃,2024-03-10 00:00:00,2.8,4.0,3.4,
1582795,无籽小号-大号,2024-03-10 00:00:00,1.6,1.7,1.65,
1582794,麒麟,2024-03-10 00:00:00,4.0,5.0,4.5,
1582793,黑美人,2024-03-10 00:00:00,1.9,2.1,2.0,
1582792,特小凤,2024-03-10 00:00:00,2.5,3.5,3.0,
1582791,甜王,2024-03-10 00:00:00,2.0,2.2,2.1,
1582790,国产香蕉,2024-03-10 00:00:00,3.0,3.2,3.1,
1582789,进口香蕉,2024-03-10 00:00:00,4.0,4.2,4.1,
1582788,泰国香蕉,2024-03-10 00:00:00,10.0,10.5,10.25,
1582787,晓蜜25号,2024-03-10 00:00:00,2.6,3.0,2.8,
1582786,黄金瓜,2024-03-10 00:00:00,2.3,2.6,2.45,
1582785,玉菇,2024-03-10 00:00:00,3.0,3.2,3.1,
1582784,网纹,2024-03-10 00:00:00,5.5,6.5,6.0,
1582783,羊角蜜,2024-03-10 00:00:00,7.0,7.5,7.25,
1582782,绿宝甜瓜,2024-03-10 00:00:00,7.0,7.5,7.25,
1582781,博阳,2024-03-10 00:00:00,7.0,7.5,7.25,
1582780,富士,2024-03-10 00:00:00,2.8,3.6,3.2,
1582779,富士,2024-03-10 00:00:00,4.0,5.0,4.5,
1582778,富士,2024-03-10 00:00:00,2.2,2.8,2.5,
1582777,黄元帅,2024-03-10 00:00:00,2.8,3.8,3.3,
1582776,花牛,2024-03-10 00:00:00,2.0,4.0,3.0,
1582775,阿克苏,2024-03-10 00:00:00,5.5,6.0,5.75,新疆
1582774,国光,2024-03-10 00:00:00,2.5,2.8,2.65,
1582773,寒富苹果,2024-03-10 00:00:00,2.2,2.8,2.5,辽宁
1582772,阳光玫瑰,2024-03-10 00:00:00,12.0,23.0,17.5,
1582771,红提,2024-03-10 00:00:00,8.0,12.0,10.0,
1582770,克伦生,2024-03-10 00:00:00,9.0,13.0,11.0,
1582769,红宝石,2024-03-10 00:00:00,6.5,8.5,7.5,
1582768,巨峰,2024-03-10 00:00:00,4.0,4.5,4.25,
1582767,辽峰,2024-03-10 00:00:00,9.0,13.0,11.0,
1582766,台农,2024-03-10 00:00:00,7.0,7.5,7.25,
1582765,台农,2024-03-10 00:00:00,8.5,9.0,8.75,
1582764,玉纹,2024-03-10 00:00:00,12.0,13.0,12.5,
1582763,青皮,2024-03-10 00:00:00,6.0,6.5,6.25,
1582762,澳芒,2024-03-10 00:00:00,13.0,13.5,13.25,
1582761,高乐蜜,2024-03-10 00:00:00,6.0,6.5,6.25,
1582760,水仙芒果,2024-03-10 00:00:00,8.0,8.5,8.25,
1582759,美早,2024-03-10 00:00:00,60.0,120.0,90.0,
1582758,白条猪,2024-03-10 00:00:00,9.0,9.0,9.0,
1582757,白条猪,2024-03-10 00:00:00,8.25,8.25,8.25,
1582756,前臀尖,2024-03-10 00:00:00,8.5,8.5,8.5,
1582755,前臀尖,2024-03-10 00:00:00,8.0,8.0,8.0,
1582754,后臀尖,2024-03-10 00:00:00,8.5,8.5,8.5,
1582753,后臀尖,2024-03-10 00:00:00,8.0,8.0,8.0,
1582752,五花肉,2024-03-10 00:00:00,11.5,12.0,11.75,
1582751,五花肉,2024-03-10 00:00:00,10.5,11.5,11.0,
1582750,五花头,2024-03-10 00:00:00,8.5,9.0,8.75,
1582749,纯通脊,2024-03-10 00:00:00,11.0,12.0,11.5,
1582748,通脊,2024-03-10 00:00:00,8.5,9.0,8.75,
1582747,小里脊,2024-03-10 00:00:00,12.5,13.0,12.75,
1582746,梅花肉,2024-03-10 00:00:00,10.5,11.0,10.75,
1582745,纯瘦肉,2024-03-10 00:00:00,9.0,10.0,9.5,
1582744,护心肉,2024-03-10 00:00:00,16.0,17.0,16.5,
1582743,前肘,2024-03-10 00:00:00,7.5,8.5,8.0,
1582742,后肘,2024-03-10 00:00:00,6.2,7.0,6.6,
1582741,月牙骨,2024-03-10 00:00:00,17.0,20.0,18.5,
1582740,猪尾巴,2024-03-10 00:00:00,45.0,50.0,47.5,
1582739,猪蹄,2024-03-10 00:00:00,17.0,19.0,18.0,
1582738,纯排骨,2024-03-10 00:00:00,17.0,20.0,18.5,
1582737,纯腔骨,2024-03-10 00:00:00,6.5,8.0,7.25,
